"Question ID","Question","Location","Markers","Reason","Original question","Original answer","Revised customer answer","Alternative questions","Review references"
"Q-486","Will clicking Add Store immediately connect a store?","System Configuration > Store Authorization","MODIFIED ANSWER; FORMAT UPDATED","Added exact controls.","Will clicking Add Store immediately connect a store?","No. It should begin an authorization workflow.
The connection is normally created only after marketplace authentication and authorization are completed.","Location: System Configuration > Store Authorization
No. Add Store opens Add New Shop. You must choose Platform and Country, click Authorize, and finish the marketplace approval before the connection is completed. Check the store name and country before granting access.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-487","Why might the marketplace ask me to sign in?","System Configuration > Store Authorization","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why might the marketplace ask me to sign in?","The marketplace needs to confirm which account and store are granting access to the ERP.
Always verify the marketplace domain before entering credentials.","Location: System Configuration > Store Authorization
The marketplace needs to confirm which account and store are granting access to the ERP.
Always verify the marketplace domain before entering credentials.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-488","Should I share the marketplace password with ERP staff?","System Configuration > Store Authorization","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Should I share the marketplace password with ERP staff?","No. The store owner or authorized administrator should complete marketplace sign-in through the official authorization page.
Passwords should not be sent through messages or documentation.","Location: System Configuration > Store Authorization
No. The store owner or authorized administrator should complete marketplace sign-in through the official authorization page.
Passwords should not be sent through messages or documentation.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-489","What permissions might store authorization request?","System Configuration > Store Authorization","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What permissions might store authorization request?","Depending on the marketplace, it may request access to:
Products
Orders
Inventory
Shipping
Returns
Store information
Review the authorization screen before approving it.","Location: System Configuration > Store Authorization
Depending on the marketplace, it may request access to:
- Products
- Orders
- Inventory
- Shipping
- Returns
- Store information
Review the authorization screen before approving it.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-490","Can I authorize the wrong store accidentally?","System Configuration > Store Authorization","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Can I authorize the wrong store accidentally?","Yes, especially if several marketplace accounts are signed in.
Before completing authorization, verify the marketplace account, store name, and country.","Location: System Configuration > Store Authorization
Yes, especially if several marketplace accounts are signed in.
Before completing authorization, verify the marketplace account, store name, and country.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-491","What does the platform filter do in Store Authorization?","System Configuration > Store Authorization","REVIEWED - MEANING RETAINED; EDITED QUESTION; FORMAT UPDATED; IMAGE CHECK NEEDED","Added the exact page name to distinguish this repeated question from similar controls on other pages.","What does the platform filter do?","It limits the Authorized Store List by marketplace.
Available platform filters include:
All Platforms
Shopee
TikTok
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407528_WERP_Q-491.png","Location: System Configuration > Store Authorization
It limits the Authorized Store List by marketplace.
Available platform filters include:
- All Platforms
- Shopee
- TikTok","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-492","What does the authorization-status filter do?","System Configuration > Store Authorization","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","What does the authorization-status filter do?","It limits the list to:
All
Authorized
Disabled
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407529_WERP_Q-492.png","Location: System Configuration > Store Authorization
It limits the list to:
- All
- Authorized
- Disabled","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-493","How do I find a store?","System Configuration > Store Authorization","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","How do I find a store?","Use the platform filter, authorization-status filter, and Search field.
Search using the store nickname or another recognizable store identifier.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407530_WERP_Q-493.png","Location: System Configuration > Store Authorization
Use the platform filter, authorization-status filter, and Search field.
Search using the store nickname or another recognizable store identifier.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-494","What does Select All do in Store Authorization?","System Configuration > Store Authorization","MODIFIED ANSWER; EDITED QUESTION; FORMAT UPDATED","Explained the actual use of selection. Added the exact page name to distinguish this repeated question from similar controls on other pages.","What does Select All do?","It selects all visible store records for a possible batch action.
No bulk-operation control was visibly identified during the review, so selection may support context-dependent actions.","Location: System Configuration > Store Authorization
Select All selects the stores in the currently filtered list for list output. Check the selected count before Export or Print. It does not authorize, unlink, or change Auto Order Accept for those stores.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-495","What do Export and Print do in Store Authorization?","System Configuration > Store Authorization","MODIFIED ANSWER; EDITED QUESTION; FORMAT UPDATED; IMAGE CHECK NEEDED","Confirmed selected scope and formats. Added the exact page name to distinguish this repeated question from similar controls on other pages.","What do Export and Print do?","Export downloads store-authorization information.
Print prepares the list for printing.
These outputs may expose store and subscription information and should be handled securely.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407531_WERP_Q-495.png","Location: System Configuration > Store Authorization
Select the required rows in System Configuration > Store Authorization. Use Export to choose CSV or Excel, or Print to prepare the selected store information. Check that the selection contains only the stores you need.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-496","Can I remove or disconnect a store?","System Configuration > Store Authorization","MODIFIED ANSWER; FORMAT UPDATED","Documented actual consequential unlink behavior.","Can I remove or disconnect a store?","A relevant option may be available under Actions.
Before disconnecting a store, confirm:
Pending orders
Pending returns
Inventory synchronization
Product mappings
Subscription implications
Whether reconnection is possible
Whether historical records will remain accessible","Location: System Configuration > Store Authorization
Go to System Configuration > Store Authorization, find the store, and choose Unlink. Read the confirmation carefully. Unlink removes the ERP store connection, its associated product mappings and imported product records, and its assigned store-access links. Finish or review outstanding work before confirming.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-497","Does disconnecting a store delete its marketplace data?","System Configuration > Store Authorization","MODIFIED ANSWER; FORMAT UPDATED","Replaced uncertain local-data scope with backend behavior.","Does disconnecting a store delete its marketplace data?","It should not delete the store’s marketplace account itself, but it may stop synchronization.
The effect on local ERP records should be confirmed before proceeding.","Location: System Configuration > Store Authorization
Unlink does not delete your marketplace seller account. It removes the ERP connection and associated local product mappings and imported products, so synchronization for that connection stops. Check pending orders and any paid-plan implications before unlinking.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-498","What is the difference between disabling and removing a store?","System Configuration > Store Authorization","MODIFIED ANSWER; FORMAT UPDATED","Separated status, removal, and automation controls.","What is the difference between disabling and removing a store?","Typically:
Disable preserves the connection record but stops operations.
Remove disconnects or deletes the authorization record.
The ERP’s exact behavior should be verified before using either action.","Location: System Configuration > Store Authorization
Disabled is an authorization-status label. Unlink is a separate action that removes the ERP store connection and related mappings and imported products. The current Actions area does not provide a general Disable Store button. Do not use Unlink just to pause Auto Order Accept; use its switch instead.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-499","How can I safely reauthorize a store?","System Configuration > Store Authorization","MODIFIED ANSWER; FORMAT UPDATED","Removed a nonexistent Reauthorize instruction.","How can I safely reauthorize a store?","A safe process is:
Confirm the correct store.
Check active orders.
Open the store’s Actions menu.
Choose the reauthorization option, if available.
Verify the official marketplace domain.
Sign in as the authorized store owner.
Review requested permissions.
Complete authorization.
Confirm that synchronization resumes.","Location: System Configuration > Store Authorization
Open System Configuration > Store Authorization and check the affected store and error first. The current store menu does not show a Reauthorize button. Contact support for the supported reconnection procedure for that existing store; do not unlink it as a first step because unlinking removes its ERP mappings and imported products.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration; src/features/pricing; src/components/layout/GiftReferralModalController.jsx | Backend: modules/platformStores; modules/subscription | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-500","What is a Sub Account?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","What is a Sub Account?","A Sub Account is an additional ERP user operating under the main account.
It allows staff members to use their own login and assigned permissions.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407532_WERP_Q-500.png","Location: System Configuration > Account Management > Sub Account
A Sub Account is an additional ERP user operating under the main account.
It allows staff members to use their own login and assigned permissions.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-501","Why should staff use Sub Accounts?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why should staff use Sub Accounts?","Sub Accounts provide better:
Security
Accountability
Permission control
User separation
Auditability
Access removal when staff leave
Staff should not share the owner’s login.","Location: System Configuration > Account Management > Sub Account
Sub Accounts provide better:
- Security
- Accountability
- Permission control
- User separation
- Auditability
- Access removal when staff leave
Staff should not share the owner's login.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-502","What information appears in the Sub Account table?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","What information appears in the Sub Account table?","The table contains:
Select
Image
Name
ID
Role
Create Time
Actions
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407533_WERP_Q-502.png","Location: System Configuration > Account Management > Sub Account
The table contains:
- Select
- Image
- Name
- ID
- Role
- Create Time
- Actions","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-503","What does the Image column show in Sub Account?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; EDITED QUESTION; FORMAT UPDATED","Added the exact page name to distinguish this repeated question from similar controls on other pages.","What does the Image column show?","It displays the user’s profile image or avatar.","Location: System Configuration > Account Management > Sub Account
It displays the user's profile image or avatar.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-504","Where can a Sub Account profile image be added?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Confirmed image field and creation/edit labels.","Where can a Sub Account profile image be added?","The image option may appear inside Add Account or an account-editing form.
Use an appropriate staff image or approved avatar, and avoid uploading unnecessary personal information.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407534_WERP_Q-504.png","Location: System Configuration > Account Management > Sub Account
As the owner, open System Configuration > Account Management > Sub Account. Click Add Account, or Actions > Edit beside a staff member. Under Employee's Photo, click Browse File or Change Photo and select a JPEG or PNG smaller than 5 MB, then Save or Update the form.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-505","What is the Sub Account ID?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What is the Sub Account ID?","It is the identifier assigned to the user account.
It may differ from the user’s name or email address.","Location: System Configuration > Account Management > Sub Account
It is the identifier assigned to the user account.
It may differ from the user's name or email address.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-506","What is the Role column?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Aligned the role column description with the real permission model.","What is the Role column?","It shows the permission role assigned to that user.
The role determines which ERP pages and actions the Sub Account can access.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407535_WERP_Q-506.png","Location: System Configuration > Account Management > Sub Account
Role shows the page-access role assigned to the Sub Account. Store Permissions and Warehouse Permissions are configured separately. The role form does not provide a separate permission switch for every action, so the owner should check the employee's actual available controls as well.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-507","What does Create Time mean in Sub Account?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; EDITED QUESTION; FORMAT UPDATED","Added the exact page name to distinguish this repeated question from similar controls on other pages.","What does Create Time mean?","It indicates when the Sub Account was created in the ERP.","Location: System Configuration > Account Management > Sub Account
It indicates when the Sub Account was created in the ERP.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-508","What does Add Account do?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Matched owner-only workflow, required fields, identity sync, and account conversion behavior.","What does Add Account do?","It opens the workflow for creating a Sub Account.
Typical information may include:
Name
Login identifier or email
Password or invitation
Role
Profile image
Account status
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407536_WERP_Q-508.png","Location: System Configuration > Account Management > Sub Account
1. Sign in as the company owner.
2. Go to System Configuration > Account Management > Sub Account > Add Account.
3. Choose Role and Select Warehouse.
4. Enter the staff member's Email, Password, Name, and Account ID. If they already use this system or the Grozziie app, use that account's matching login details.
5. Complete the profile details and select the intended Store Permissions and Warehouse Permissions.
6. Click Save and check the result. Only add the intended employee; adding an existing user can change their company membership.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-509","What should I check before adding a Sub Account?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Removed contradiction with the supported existing-account workflow.","What should I check before adding a Sub Account?","Confirm:
The person requires ERP access.
Their identity is correct.
They do not already have an account.
The correct role exists.
The role follows least privilege.
The person understands security requirements.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407537_WERP_Q-509.png","Location: System Configuration > Account Management > Sub Account
Confirm the employee's identity, email, intended company membership, role, stores, and warehouses. Check whether the email already has a login, because an existing account needs its matching password and linking it can affect company membership. Use Add Account only for the intended employee and complete credential setup privately.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-510","What is least-privilege access?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What is least-privilege access?","It means giving users only the permissions required for their work.
For example, warehouse staff may not need subscription or account-management access.","Location: System Configuration > Account Management > Sub Account
It means giving users only the permissions required for their work.
For example, warehouse staff may not need subscription or account-management access.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-511","Should several employees share one Sub Account?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Should several employees share one Sub Account?","No. Each employee should have an individual account whenever possible.
Shared accounts reduce accountability and make access removal more difficult.","Location: System Configuration > Account Management > Sub Account
No. Each employee should have an individual account whenever possible.
Shared accounts reduce accountability and make access removal more difficult.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-512","How should a Sub Account password be created?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED","Clarified both new-account registration and existing-account credential matching.","How should a Sub Account password be created?","Use a strong, unique password that is not reused elsewhere.
If the ERP supports invitations or password setup by the user, that is preferable to sending a password in a message.","Location: System Configuration > Account Management > Sub Account
For a new staff login, choose a strong password. If the employee already uses this system or the Grozziie app with that email, enter the matching existing password during account setup. The Add Account workflow checks the login and can register a new email. It does not send an invitation. Complete setup privately with the employee.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-513","Should the administrator know every user's password?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED","Corrected a generic security answer that contradicted the actual setup form.","Should the administrator know every user’s password?","No. Users should control their own passwords. Administrators should use authorized reset or invitation workflows when access must be restored.","Location: System Configuration > Account Management > Sub Account
The current Add Account workflow asks for the staff member's login password during setup and checks it against an existing account when applicable. Complete that step privately with the employee. For a forgotten password, use Forgot password? on Log In; the Sub Account row has no separate Reset Password command.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-514","What does Actions do for a Sub Account?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Confirmed actual actions.","What does Actions do for a Sub Account?","Actions may provide functions such as viewing, editing, disabling, changing the role, resetting access, or deleting the account.
Review the actual menu before choosing an operation.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407538_WERP_Q-514.png","Location: System Configuration > Account Management > Sub Account
On System Configuration > Account Management > Sub Account, Actions contains Details, Edit, and Delete. The owner can edit the account or confirm its deletion. This menu does not include separate Disable or Reset Password commands.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-515","How do I change a Sub Account's role?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED","Added full role-change procedure.","How do I change a Sub Account’s role?","A role-change option may be available under Actions.
Before saving it, compare the old and new permissions and confirm the business need.","Location: System Configuration > Account Management > Sub Account
Sign in as the owner and open System Configuration > Account Management > Sub Account. Choose Actions > Edit beside the employee, select the new Role, review Store Permissions and Warehouse Permissions, then click Update. Ask the employee to sign in again to reload their access.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-516","What should happen when an employee leaves?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; QUESTION VARIANTS ADDED; FORMAT UPDATED","Matched the actual removal control.","What should happen when an employee leaves?","An authorized administrator should promptly disable or remove the person’s access according to company policy.
Before removal, consider whether audit history must remain linked to that user.","Location: System Configuration > Account Management > Sub Account
The company owner should open System Configuration > Account Management > Sub Account, identify the employee, and review their access. The current row offers Delete to remove the Sub Account and end its ERP session. Confirm the right person and any records your company needs before deleting.","How do I remove a staff account?; Where do I stop ERP access for an employee who left?","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-517","Should I delete or disable a former employee's account?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED","Removed a recommendation to use an unavailable disable control.","Should I delete or disable a former employee’s account?","Disabling is often safer because it blocks access while preserving the user record and history.
Deletion may be appropriate only when retention and audit requirements permit it.","Location: System Configuration > Account Management > Sub Account
The current Sub Account page has Delete but no separate Disable button. Have the owner review the employee's records and use Actions > Delete when removal is intended. For a temporary access restriction, review the role, store, and warehouse assignments or ask support about a supported suspension process.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-518","Can a Sub Account manage other accounts?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED","Confirmed owner enforcement in the active routes.","Can a Sub Account manage other accounts?","Only if its assigned role includes Account Management permissions.
This permission should be restricted carefully.","Location: System Configuration > Account Management > Sub Account
A Sub Account may be allowed to view the page, but creating, editing, and deleting Sub Accounts require the company owner. Seeing Account Management in the sidebar does not by itself grant those owner-only actions.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-519","Can a Sub Account view customer information?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Can a Sub Account view customer information?","It depends on the assigned role.
Users with order access may see customer names, addresses, phone numbers, and shipping details. Grant that access only when operationally required.","Location: System Configuration > Account Management > Sub Account
It depends on the assigned role.
Users with order access may see customer names, addresses, phone numbers, and shipping details. Grant that access only when operationally required.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-520","How do I search for a Sub Account?","System Configuration > Account Management > Sub Account","MODIFIED ANSWER; FORMAT UPDATED","Confirmed searchable fields.","How do I search for a Sub Account?","Enter the user’s name, ID, or another supported identifier in the Search field.
The exact searchable fields are not stated on the page.","Location: System Configuration > Account Management > Sub Account
Open System Configuration > Account Management > Sub Account and use Search. You can search the staff member's name, Account ID, or role name. Clear the search if the person is not found, and confirm you are in the correct company.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-521","What does Select do?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What does Select do?","It selects a Sub Account row for a possible batch or context-specific operation.
Selecting a row should not itself modify the account.","Location: System Configuration > Account Management > Sub Account
It selects a Sub Account row for a possible batch or context-specific operation.
Selecting a row should not itself modify the account.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-522","How does pagination work?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","How does pagination work?","Use:
Sub Accounts per page
Previous
Next
Pagination changes only the displayed list.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407539_WERP_Q-522.png","Location: System Configuration > Account Management > Sub Account
Use:
- Sub Accounts per page
- Previous
- Next
Pagination changes only the displayed list.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
"Q-523","Why can't a Sub Account access a page?","System Configuration > Account Management > Sub Account","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why can’t a Sub Account access a page?","Possible reasons include:
Role lacks permission.
Account is disabled.
Role was changed.
User session is outdated.
Subscription restricts the feature.
Account was not created successfully.
User is signed into the wrong account.","Location: System Configuration > Account Management > Sub Account
Possible reasons include:
Role lacks permission.
Account is disabled.
Role was changed.
User session is outdated.
Subscription restricts the feature.
Account was not created successfully.
User is signed into the wrong account.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js | Frontend: src/components/layout; src/features/auth"
